anio,semana_epi,casos,n_obs_base,anios_presentes_base,cumple_piso_suficiencia,corte_inferior_base,corte_superior_base,etiqueta_riesgo,temp_max_lag1,temp_max_lag2,temp_max_media_movil4,temp_min_lag1,temp_min_lag2,temp_min_media_movil4,temp_media_lag1,temp_media_lag2,temp_media_media_movil4,humedad_relativa_media_lag1,humedad_relativa_media_lag2,humedad_relativa_media_media_movil4,punto_rocio_lag1,punto_rocio_lag2,punto_rocio_media_movil4,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_media_movil4,precipitation_hours_lag1,precipitation_hours_lag2,precipitation_hours_media_movil4
2021,46,141.0,12,4,True,267.5,429.80000000000007,bajo,29.37242857142857,29.097,28.810232142857146,19.758214285714285,20.677642857142857,20.924767857142857,24.117285714285714,24.36435714285714,24.343857142857143,67.09178571428572,74.98992857142858,77.65816071428571,17.210214285714287,19.289785714285713,19.83801785714286,0.4142857142857143,6.35,27.664285714285715,1.7142857142857142,13.928571428571429,35.625
2021,47,112.0,12,4,True,240.25,295.90000000000003,bajo,29.934857142857144,29.37242857142857,29.243946428571427,21.3765,19.758214285714285,20.888535714285716,25.083714285714287,24.117285714285714,24.566339285714285,71.06135714285715,67.09178571428572,74.10464285714286,19.068285714285715,17.210214285714287,19.262500000000003,5.564285714285714,0.4142857142857143,8.864285714285714,13.285714285714286,1.7142857142857142,18.892857142857146
2021,48,125.0,12,4,True,200.0,239.3,bajo,30.210142857142856,29.934857142857144,29.653607142857144,20.158142857142856,21.3765,20.492625,24.651142857142858,25.083714285714287,24.554125000000003,63.90821428571429,71.06135714285715,69.26282142857143,16.820357142857144,19.068285714285715,18.097160714285714,0.09285714285714286,5.564285714285714,3.105357142857143,0.35714285714285715,13.285714285714286,7.321428571428572
2021,49,160.0,12,4,True,179.0,235.70000000000002,bajo,31.22342857142857,30.210142857142856,30.185214285714284,19.580571428571428,20.158142857142856,20.21835714285714,24.720357142857143,24.651142857142858,24.643125,60.551,63.90821428571429,65.65308928571429,15.884714285714285,16.820357142857144,17.245892857142856,0.19285714285714287,0.09285714285714286,1.5660714285714286,1.0,0.35714285714285715,4.089285714285714
2021,50,154.0,12,4,True,174.5,222.20000000000002,bajo,31.844785714285713,31.22342857142857,30.80330357142857,20.996928571428572,19.580571428571428,20.528035714285714,25.94292857142857,24.720357142857143,25.099535714285715,63.46942857142857,60.551,64.7475,17.7,15.884714285714285,17.368339285714285,0.15714285714285714,0.19285714285714287,1.5017857142857143,0.7857142857142857,1.0,3.8571428571428577
2021,51,132.0,12,4,True,128.75,198.50000000000003,medio,31.119357142857144,31.844785714285713,31.09942857142857,21.138928571428572,20.996928571428572,20.468642857142854,25.537785714285715,25.94292857142857,25.21305357142857,64.08178571428572,63.46942857142857,63.002607142857144,17.65207142857143,17.7,17.014285714285716,5.078571428571428,0.15714285714285714,1.3803571428571428,8.5,0.7857142857142857,2.6607142857142856
2022,2,159.0,12,4,True,98.25,128.4,alto,30.936714285714285,30.79692857142857,30.851017857142857,20.77957142857143,20.304,20.691607142857144,25.40835714285714,25.139857142857142,25.239089285714286,62.45914285714286,65.09178571428572,63.742375,16.938785714285714,17.299071428571427,17.139089285714284,1.4785714285714286,0.22857142857142856,2.435714285714285,8.714285714285714,1.6428571428571428,7.392857142857142
2022,3,175.0,12,4,True,95.0,137.3,alto,30.669357142857145,30.936714285714285,30.73851785714286,20.58685714285714,20.77957142857143,20.553589285714285,25.098928571428573,25.40835714285714,25.129375,59.346714285714285,62.45914285714286,62.55860714285715,15.91842857142857,16.938785714285714,16.70567857142857,0.6,1.4785714285714286,1.3160714285714286,5.142857142857143,8.714285714285714,6.553571428571428
2022,4,146.0,12,4,True,101.25,149.70000000000002,medio,31.586642857142856,30.669357142857145,30.997410714285714,19.404,20.58685714285714,20.268607142857142,24.868285714285715,25.098928571428573,25.128857142857143,57.408142857142856,59.346714285714285,61.07644642857143,14.863285714285714,15.91842857142857,16.254892857142856,0.11428571428571428,0.6,0.6053571428571429,0.6428571428571429,5.142857142857143,4.035714285714286
2022,5,150.0,12,4,True,104.5,160.0,medio,31.35,31.586642857142856,31.13567857142857,20.497857142857143,19.404,20.317071428571428,25.27657142857143,24.868285714285715,25.163035714285716,61.39814285714286,57.408142857142856,60.153035714285714,16.463214285714287,14.863285714285714,16.045928571428572,0.55,0.11428571428571428,0.6857142857142857,3.7142857142857144,0.6428571428571429,4.553571428571429
